jj,amount,label
1.736,1593.318,BestIndividual
1.081,1470.267,BestIndividual
3.908,1432.538,BestIndividual
4.492,1404.301,BestIndividual
1.179,956.942,BestIndividual
25.767,379.867,BestIndividual
27.619,266.377,BestIndividual
28.155,266.375,BestIndividual
28.266,266.216,BestIndividual
27.617,108.5,BestIndividual
26.316,108.852,BestIndividual
8.744,119.643,BestIndividual
8.735,119.624,BestIndividual
8.58,118.591,BestIndividual
8.491,113.598,BestIndividual
8.1,113.71,BestIndividual
7.483,117.152,BestIndividual
7.259,117.06,BestIndividual
6.592,111.075,BestIndividual
5.259,107.295,BestIndividual
4.57,105.876,BestIndividual
4.568,105.872,BestIndividual
4.455,113.648,BestIndividual
4.006,113.581,BestIndividual
3.868,112.886,BestIndividual
3.826,112.92,BestIndividual
3.771,112.917,BestIndividual
3.761,112.944,BestIndividual
3.655,112.434,BestIndividual
3.625,111.664,BestIndividual
3.444,111.366,BestIndividual
3.441,111.366,BestIndividual
2.448,119.735,BestIndividual
2.406,118.187,BestIndividual
2.4,118.176,BestIndividual
2.365,118.146,BestIndividual
2.355,105.592,BestIndividual
2.264,104.719,BestIndividual
2.112,103.428,BestIndividual
2.066,103.383,BestIndividual
2.059,103.365,BestIndividual
2.022,103.271,BestIndividual
2.021,103.182,BestIndividual
1.972,105.497,BestIndividual
1.716,114.816,BestIndividual
1.71,119.343,BestIndividual
1.688,117.456,BestIndividual
1.671,117.614,BestIndividual
1.654,116.684,BestIndividual
1.654,116.843,BestIndividual
1.654,116.842,BestIndividual
1.653,116.841,BestIndividual
1.652,116.84,BestIndividual
1.652,116.636,BestIndividual
1.614,101.811,BestIndividual
1.609,100.848,BestIndividual
1.608,101.008,BestIndividual
1.595,102.837,BestIndividual
1.587,101.011,BestIndividual
1.587,101.012,BestIndividual
1.554,101.012,BestIndividual
1.515,101.141,BestIndividual
