jj,amount,label
4.1,139.92,AvgValues
4.09,139.73,AvgValues
4.07,139.51,AvgValues
4.04,139.59,AvgValues
4.03,139.59,AvgValues
3.99,140.11,AvgValues
3.99,140.43,AvgValues
3.93,140.59,AvgValues
3.92,140.59,AvgValues
3.92,140.85,AvgValues
3.88,140.89,AvgValues
3.86,140.64,AvgValues
3.82,140.5,AvgValues
3.76,140.5,AvgValues
3.7,140.63,AvgValues
3.67,140.58,AvgValues
3.67,140.88,AvgValues
3.65,140.97,AvgValues
3.65,140.99,AvgValues
3.6,141.03,AvgValues
3.59,140.9,AvgValues
3.58,141.16,AvgValues
3.53,141.18,AvgValues
3.53,141.17,AvgValues
